loan_id,borrower_id,borrower_name,borrower_contact,borrower_email,borrower_id_number,amount,principal_amount,rate,interest_rate,term_months,origination_date,status,current_status,payment_history_json,risk_score,region
ABF000001,BRW000001,Distribuidora Rodríguez,Francisco Rodríguez Torres,francisco.rodríguez@distribuidorarodríguez.mx,UZWW348136PO2,51224.26,51224.26,0.3926,39.26,24,2024-10-16,current,current,"[{""month"": 1, ""status"": ""late"", ""days_late"": 2, ""amount_paid"": 7186.38}, {""month"": 2, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 5265.36}, {""month"": 3, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 11498.84}, {""month"": 4, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 7204.41}, {""month"": 5, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 13094.3}, {""month"": 6, ""status"": ""late"", ""days_late"": 13, ""amount_paid"": 6596.59}, {""month"": 7, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 7778.71}, {""month"": 8, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 12634.94}, {""month"": 9, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 8799.27}, {""month"": 10, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 8439.56}, {""month"": 11, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 5434.5}, {""month"": 12, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 6248.26}, {""month"": 13, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 5788.0}, {""month"": 14, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 11286.4}, {""month"": 15, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 8616.35}]",649,Monterrey
ABF000002,BRW000002,Exportadora Vázquez,Pedro Vázquez Alonso,pedro.vázquez@exportadoravázquez.mx,XKFZ500167F2D,101609.61,101609.61,0.3795,37.95,18,2024-06-30,paid_off,paid_off,"[{""month"": 1, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 11400.0}, {""month"": 2, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 10569.5}, {""month"": 3, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 11846.14}, {""month"": 4, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 13428.52}, {""month"": 5, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 12760.0}, {""month"": 6, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 7290.48}, {""month"": 7, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 5321.0}, {""month"": 8, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 8154.53}, {""month"": 9, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 7677.41}, {""month"": 10, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 7109.83}, {""month"": 11, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 14429.1}, {""month"": 12, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 13763.68}, {""month"": 13, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 8146.78}, {""month"": 14, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 11554.39}, {""month"": 15, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 8956.32}, {""month"": 16, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 14145.48}, {""month"": 17, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 9588.52}, {""month"": 18, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 7648.8}]",713,Mérida
ABF000003,BRW000003,Comercial Pérez,Ana Pérez Blanco,ana.pérez@comercialpérez.mx,CMBT714528F7J,37490.18,37490.18,0.3965,39.65,12,2024-06-25,delinquent,delinquent,"[{""month"": 1, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 12685.99}, {""month"": 2, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 7935.0}, {""month"": 3, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 5032.45}, {""month"": 4, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 12196.81}, {""month"": 5, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 12619.62}, {""month"": 6, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 6064.11}, {""month"": 7, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 13416.69}, {""month"": 8, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 6989.11}, {""month"": 9, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 6615.49}, {""month"": 10, ""status"": ""late"", ""days_late"": 68, ""amount_paid"": 8241.56}, {""month"": 11, ""status"": ""late"", ""days_late"": 37, ""amount_paid"": 14290.99}, {""month"": 12, ""status"": ""missed"", ""days_late"": 0, ""amount_paid"": 0}]",561,Puebla
ABF000004,BRW000004,Importadora Rodríguez,Antonio Rodríguez Hernández,antonio.rodríguez@importadorarodríguez.mx,UCEN114808U3N,100741.51,100741.51,0.3186,31.86,24,2024-12-31,current,current,"[{""month"": 1, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 8380.86}, {""month"": 2, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 7301.15}, {""month"": 3, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 5709.93}, {""month"": 4, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 7289.42}, {""month"": 5, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 13596.35}, {""month"": 6, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 7380.05}, {""month"": 7, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 7142.37}, {""month"": 8, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 14355.14}, {""month"": 9, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 9726.71}, {""month"": 10, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 13074.97}, {""month"": 11, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 5969.31}, {""month"": 12, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 9235.79}, {""month"": 13, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 12290.76}]",772,Aguascalientes
ABF000005,BRW000005,Exportadora Pérez,Rafael Pérez Gómez,rafael.pérez@exportadorapérez.mx,DQLY906505I4C,120845.89,120845.89,0.3124,31.24,18,2023-01-16,current,current,"[{""month"": 1, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 14853.09}, {""month"": 2, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 12840.71}, {""month"": 3, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 9230.07}, {""month"": 4, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 14954.23}, {""month"": 5, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 12184.08}, {""month"": 6, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 7967.08}, {""month"": 7, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 10791.8}, {""month"": 8, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 12479.76}, {""month"": 9, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 10841.78}, {""month"": 10, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 13527.2}, {""month"": 11, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 14607.79}, {""month"": 12, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 6858.25}, {""month"": 13, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 11752.13}, {""month"": 14, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 6198.87}, {""month"": 15, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 7462.15}, {""month"": 16, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 11193.82}, {""month"": 17, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 10836.72}, {""month"": 18, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 14347.06}]",652,Guadalajara
ABF000006,BRW000006,Comercial Gómez,Elena Gómez Martínez,elena.gómez@comercialgómez.mx,JBMF938826EA2,60716.7,60716.7,0.3425,34.25,36,2023-09-08,delinquent,delinquent,"[{""month"": 1, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 14872.33}, {""month"": 2, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 5078.23}, {""month"": 3, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 7993.79}, {""month"": 4, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 14389.3}, {""month"": 5, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 6154.29}, {""month"": 6, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 10532.24}, {""month"": 7, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 11048.3}, {""month"": 8, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 7035.97}, {""month"": 9, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 7639.84}, {""month"": 10, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 14053.36}, {""month"": 11, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 5922.98}, {""month"": 12, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 7766.8}, {""month"": 13, ""status"": ""late"", ""days_late"": 13, ""amount_paid"": 6308.2}, {""month"": 14, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 6615.82}, {""month"": 15, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 12056.67}, {""month"": 16, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 6118.74}, {""month"": 17, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 11910.2}, {""month"": 18, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 5360.28}, {""month"": 19, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 10525.25}, {""month"": 20, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 5418.29}, {""month"": 21, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 14330.88}, {""month"": 22, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 5398.95}, {""month"": 23, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 11820.67}, {""month"": 24, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 8536.79}, {""month"": 25, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 13747.13}, {""month"": 26, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 12494.78}, {""month"": 27, ""status"": ""late"", ""days_late"": 85, ""amount_paid"": 6625.02}, {""month"": 28, ""status"": ""late"", ""days_late"": 86, ""amount_paid"": 9122.94}, {""month"": 29, ""status"": ""late"", ""days_late"": 77, ""amount_paid"": 14244.87}]",605,Tijuana
ABF000007,BRW000007,Importadora Torres,David Torres González,david.torres@importadoratorres.mx,NQIV762102HU2,97053.42,97053.42,0.3892,38.92,36,2023-12-26,current,current,"[{""month"": 1, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 6785.68}, {""month"": 2, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 7654.66}, {""month"": 3, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 9345.64}, {""month"": 4, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 8136.77}, {""month"": 5, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 10114.23}, {""month"": 6, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 10765.88}, {""month"": 7, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 12087.85}, {""month"": 8, ""status"": ""late"", ""days_late"": 15, ""amount_paid"": 13065.11}, {""month"": 9, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 14402.63}, {""month"": 10, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 6970.35}, {""month"": 11, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 14488.74}, {""month"": 12, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 11231.55}, {""month"": 13, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 6246.25}, {""month"": 14, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 10071.23}, {""month"": 15, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 8261.83}, {""month"": 16, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 10544.12}, {""month"": 17, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 11649.29}, {""month"": 18, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 12481.35}, {""month"": 19, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 10691.05}, {""month"": 20, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 13337.25}, {""month"": 21, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 7101.83}, {""month"": 22, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 11066.62}, {""month"": 23, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 9417.86}, {""month"": 24, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 10111.74}, {""month"": 25, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 14598.32}]",788,Querétaro
ABF000008,BRW000008,Comercial Gómez,Elena Gómez Moreno,elena.gómez@comercialgómez.mx,SGIX013124BG2,100975.47,100975.47,0.3341,33.41,18,2024-10-06,current,current,"[{""month"": 1, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 11876.22}, {""month"": 2, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 13604.41}, {""month"": 3, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 12784.2}, {""month"": 4, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 13041.1}, {""month"": 5, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 9645.5}, {""month"": 6, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 14174.7}, {""month"": 7, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 6333.39}, {""month"": 8, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 10311.32}, {""month"": 9, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 8172.98}, {""month"": 10, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 9425.73}, {""month"": 11, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 13920.2}, {""month"": 12, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 14068.55}, {""month"": 13, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 6591.58}, {""month"": 14, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 9500.7}, {""month"": 15, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 13398.63}, {""month"": 16, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 12776.75}]",724,Querétaro
ABF000009,BRW000009,Exportadora Alonso,Isabel Alonso Sánchez,isabel.alonso@exportadoraalonso.mx,STEP718910BOY,235360.24,235360.24,0.3135,31.35,24,2024-02-03,current,current,"[{""month"": 1, ""status"": ""late"", ""days_late"": 6, ""amount_paid"": 7986.13}, {""month"": 2, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 13916.42}, {""month"": 3, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 10382.21}, {""month"": 4, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 12998.68}, {""month"": 5, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 9882.29}, {""month"": 6, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 9856.42}, {""month"": 7, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 11688.74}, {""month"": 8, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 12241.81}, {""month"": 9, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 14195.42}, {""month"": 10, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 10341.24}, {""month"": 11, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 10918.93}, {""month"": 12, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 5839.47}, {""month"": 13, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 13668.51}, {""month"": 14, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 7601.56}, {""month"": 15, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 9546.99}, {""month"": 16, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 13796.4}, {""month"": 17, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 14512.04}, {""month"": 18, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 13349.11}, {""month"": 19, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 12490.24}, {""month"": 20, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 14519.2}, {""month"": 21, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 5686.18}, {""month"": 22, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 5402.58}, {""month"": 23, ""status"": ""late"", ""days_late"": 4, ""amount_paid"": 6993.61}, {""month"": 24, ""status"": ""late"", ""days_late"": 3, ""amount_paid"": 7385.45}]",721,Querétaro
ABF000010,BRW000010,Exportadora Domínguez,Elena Domínguez Muñoz,elena.domínguez@exportadoradomínguez.mx,LAHK263539JCG,86693.91,86693.91,0.28,28,24,2023-07-23,delinquent,delinquent,"[{""month"": 1, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 6210.55}, {""month"": 2, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 12826.35}, {""month"": 3, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 9283.78}, {""month"": 4, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 10059.61}, {""month"": 5, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 13495.76}, {""month"": 6, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 6055.39}, {""month"": 7, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 11355.85}, {""month"": 8, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 12073.09}, {""month"": 9, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 12337.95}, {""month"": 10, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 7700.82}, {""month"": 11, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 10381.73}, {""month"": 12, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 9355.74}, {""month"": 13, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 7683.96}, {""month"": 14, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 13307.31}, {""month"": 15, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 13816.31}, {""month"": 16, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 9647.08}, {""month"": 17, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 8789.89}, {""month"": 18, ""status"": ""late"", ""days_late"": 14, ""amount_paid"": 8250.14}, {""month"": 19, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 8548.25}, {""month"": 20, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 7796.58}, {""month"": 21, ""status"": ""paid"", ""days_late"": 0, ""amount_paid"": 13801.07}, {""month"": 22, ""status"": ""late"", ""days_late"": 63, ""amount_paid"": 14480.63}, {""month"": 23, ""status"": ""late"", ""days_late"": 45, ""amount_paid"": 12200.75}, {""month"": 24, ""status"": ""missed"", ""days_late"": 0, ""amount_paid"": 0}]",642,Tijuana
